No,Date,State/UT,Latitude,Longitude,Confirmed,Active,Deaths,Mortality rate,Cured,Recovery rate
0,30-01-2020,Kerala,10.8505,76.2711,1,1,0,0,0,0
1,31-01-2020,Kerala,10.8505,76.2711,1,1,0,0,0,0
2,01-02-2020,Kerala,10.8505,76.2711,2,2,0,0,0,0
3,02-02-2020,Kerala,10.8505,76.2711,3,3,0,0,0,0
4,03-02-2020,Kerala,10.8505,76.2711,3,3,0,0,0,0
5,04-02-2020,Kerala,10.8505,76.2711,3,3,0,0,0,0
6,05-02-2020,Kerala,10.8505,76.2711,3,3,0,0,0,0
7,06-02-2020,Kerala,10.8505,76.2711,3,3,0,0,0,0
8,07-02-2020,Kerala,10.8505,76.2711,3,3,0,0,0,0
9,08-02-2020,Kerala,10.8505,76.2711,3,3,0,0,0,0
10,09-02-2020,Kerala,10.8505,76.2711,3,3,0,0,0,0
11,10-02-2020,Kerala,10.8505,76.2711,3,3,0,0,0,0
12,11-02-2020,Kerala,10.8505,76.2711,3,3,0,0,0,0
13,12-02-2020,Kerala,10.8505,76.2711,3,3,0,0,0,0
14,13-02-2020,Kerala,10.8505,76.2711,3,3,0,0,0,0
15,14-02-2020,Kerala,10.8505,76.2711,3,3,0,0,0,0
16,15-02-2020,Kerala,10.8505,76.2711,3,3,0,0,0,0
17,16-02-2020,Kerala,10.8505,76.2711,3,3,0,0,0,0
18,17-02-2020,Kerala,10.8505,76.2711,3,3,0,0,0,0
19,18-02-2020,Kerala,10.8505,76.2711,3,3,0,0,0,0
20,19-02-2020,Kerala,10.8505,76.2711,3,3,0,0,0,0
21,20-02-2020,Kerala,10.8505,76.2711,3,3,0,0,0,0
22,21-02-2020,Kerala,10.8505,76.2711,3,3,0,0,0,0
23,22-02-2020,Kerala,10.8505,76.2711,3,3,0,0,0,0
24,23-02-2020,Kerala,10.8505,76.2711,3,3,0,0,0,0
25,24-02-2020,Kerala,10.8505,76.2711,3,3,0,0,0,0
